NM_LIVRO,NM_GENERO,NM_AUTOR,NM_EDITORA,NR_VALOR_VENDA,NM_LIVRARIA,NR_UNIDADES_VENDIDAS
Amor Eterno: Corações em Chamas,Romance,Beatriz Nunes,Intrínseca,18.98,Livraria Fnac,28
O Feitiço da Chama,Fantasia,João Silva,Companhia das Letras,19.47,Livraria da Travessa,229
Futuro Agora: Inteligência Artificial,Tecnologia,Rafael Gomes,Editora Rocco,117.95,Livraria Cultura,104
Nos Bastidores da História,História,Lucas Lima,Editora Record,21.53,Livraria Martins Fontes,222
O Horizonte Proibido,Ficção,João Silva,Editora Sextante,36.61,Livraria Lecos,0
Aventuras Mágicas: A Fada e o Dragão,Infantil,Lucas Lima,Companhia das Letras,32.42,Livraria Fnac,56
O Mistério de Nova York,Suspense,Carlos Souza,Editora Sextante,78.25,Livraria da Travessa,7
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Carlos Souza,Editora Sextante,22.12,Livraria Fnac,182
Os Guerreiros do Passado,História,Carla Dias,Editora Record,14.65,Livraria Cultura,21
Vida Incrível: Histórias de Superação,Biografia,João Silva,Editora Globo,73.55,Livraria da Travessa,1
Futuro Agora: Revolução Digital,Tecnologia,Carla Dias,Intrínseca,34.71,Livraria Saraiva,0
O Feitiço da Chama,Fantasia,Pedro Martins,Editora Rocco,152.39,Livraria Martins Fontes,360
Vida Incrível: O Legado de uma Lenda,Biografia,Ana Pereira,Editora Record,10.2,Livraria Lecos,4
O Feitiço da Montanha,Fantasia,Sofia Almeida,Editora Globo,7.71,Livraria Fnac,139
Além do Infinito,Ficção,Fernanda Costa,Editora Record,31.73,Livraria Fnac,60
O Mistério de Moscou,Suspense,Carlos Souza,Editora Sextante,29.39,Livraria da Travessa,89
Além do Infinito,Ficção,Sofia Almeida,Editora Rocco,20.74,Livraria Martins Fontes,70
Futuro Agora: Inteligência Artificial,Tecnologia,Ana Pereira,Companhia das Letras,30.85,Livraria Cultura,29
Desperte Seu Poder: Vença o Medo,Autoajuda,Juliana Rocha,Editora Record,17.31,Livraria Martins Fontes,28
O Feitiço da Sombra,Fantasia,Lucas Lima,Editora Record,22.64,Livraria Martins Fontes,0
Além do Infinito,Ficção,Maria Oliveira,Intrínseca,11.41,Livraria Saraiva,0
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,Beatriz Nunes,Companhia das Letras,5.75,Livraria Fnac,297
Desperte Seu Poder: Superando Limites,Autoajuda,Rafael Gomes,Intrínseca,70.34,Livraria da Travessa,149
Vida Incrível: O Legado de uma Lenda,Biografia,Lucas Lima,Editora Rocco,27.6,Livraria Lecos,0
Amor Eterno: Corações em Chamas,Romance,João Silva,Editora Record,54.39,Livraria da Travessa,27
A Casa das Sombras,Terror,Beatriz Nunes,Companhia das Letras,115.76,Livraria da Travessa,4
A Última Batalha,História,Thiago Fernandes,Editora Record,35.31,Livraria Lecos,0
O Feitiço da Sombra,Fantasia,Juliana Rocha,Editora Globo,7.76,Livraria Cultura,63
O Mistério de Nova York,Suspense,Beatriz Nunes,Editora Planeta,65.03,Livraria Saraiva,50
Amor Eterno: A Noite das Estrelas,Romance,Carla Dias,Intrínseca,95.17,Livraria Saraiva,0
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Pedro Martins,Editora Sextante,19.0,Livraria Cultura,560
Desperte Seu Poder: Superando Limites,Autoajuda,Ana Pereira,Companhia das Letras,9.15,Livraria Saraiva,234
Desperte Seu Poder: Superando Limites,Autoajuda,Beatriz Nunes,Editora Rocco,199.8,Livraria Lecos,38
Aventuras Mágicas: A Fada e o Dragão,Infantil,Rafael Gomes,Editora Rocco,50.63,Livraria Martins Fontes,55
Vida Incrível: O Legado de uma Lenda,Biografia,Ana Pereira,Editora Planeta,17.87,Livraria Cultura,2
O Feitiço da Chama,Fantasia,Maria Oliveira,Editora Sextante,48.68,Livraria Lecos,169
A Última Fronteira,Ficção,Rafael Gomes,Editora Rocco,8.35,Livraria Martins Fontes,19
Vida Incrível: Histórias de Superação,Biografia,Lucas Lima,Editora Sextante,69.09,Livraria Fnac,78
Amor Eterno: Entre Nós,Romance,Lucas Lima,Editora Globo,25.78,Livraria Cultura,64
O Mistério de Londres,Suspense,Fernanda Costa,Editora Globo,100.97,Livraria Cultura,86
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Rafael Gomes,Editora Planeta,30.43,Livraria da Travessa,0
Futuro Agora: Revolução Digital,Tecnologia,Ana Pereira,Intrínseca,59.31,Livraria Lecos,176
Vida Incrível: O Legado de uma Lenda,Biografia,Gustavo Ribeiro,Editora Globo,39.64,Livraria Cultura,171
Além do Infinito,Ficção,Beatriz Nunes,Editora Rocco,17.56,Livraria Lecos,171
A Última Batalha,História,Carlos Souza,Companhia das Letras,85.61,Livraria Fnac,21
O Mistério de Paris,Suspense,Lucas Lima,Editora Planeta,25.46,Livraria Martins Fontes,0
Vida Incrível: O Legado de uma Lenda,Biografia,Juliana Rocha,Editora Planeta,43.48,Livraria da Travessa,353
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Rafael Gomes,Intrínseca,34.25,Livraria Cultura,0
Desperte Seu Poder: Superando Limites,Autoajuda,Carlos Souza,Editora Globo,14.1,Livraria Fnac,3
O Feitiço da Sombra,Fantasia,Gustavo Ribeiro,Editora Planeta,122.45,Livraria Martins Fontes,141
Aventura Radical: Os Mistérios do Deserto,Aventura,Gustavo Ribeiro,Companhia das Letras,27.97,Livraria Lecos,207
Amor Eterno: Entre Nós,Romance,Maria Oliveira,Editora Globo,40.31,Livraria Saraiva,42
Amor Eterno: O Último Beijo,Romance,Carla Dias,Editora Rocco,7.3,Livraria Saraiva,283
Amor Eterno: Entre Nós,Romance,Sofia Almeida,Companhia das Letras,54.17,Livraria Cultura,0
Amor Eterno: Corações em Chamas,Romance,Sofia Almeida,Editora Planeta,87.49,Livraria Lecos,0
Revolução Científica: Explorando o Infinito,Ciência,Ana Pereira,Editora Sextante,60.57,Livraria Lecos,134
Os Olhos da Noite,Terror,Beatriz Nunes,Companhia das Letras,48.31,Livraria Saraiva,4
Desperte Seu Poder: Vença o Medo,Autoajuda,Carla Dias,Companhia das Letras,82.26,Livraria Martins Fontes,135
A Última Batalha,História,Carlos Souza,Intrínseca,83.59,Livraria Cultura,23
Revolução Científica: O Enigma da Matéria,Ciência,Lucas Lima,Companhia das Letras,30.44,Livraria Fnac,0
Amor Eterno: A Noite das Estrelas,Romance,Thiago Fernandes,Editora Globo,26.18,Livraria Saraiva,0
Futuro Agora: Revolução Digital,Tecnologia,Pedro Martins,Editora Record,43.36,Livraria Saraiva,142
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Sofia Almeida,Editora Planeta,29.91,Livraria Cultura,0
Futuro Agora: Revolução Digital,Tecnologia,Thiago Fernandes,Companhia das Letras,12.59,Livraria da Travessa,89
Vida Incrível: O Legado de uma Lenda,Biografia,Pedro Martins,Editora Globo,35.51,Livraria Cultura,13
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Carla Dias,Editora Globo,13.69,Livraria Fnac,19
Amor Eterno: O Último Beijo,Romance,Maria Oliveira,Editora Globo,77.99,Livraria Lecos,212
Os Olhos da Noite,Terror,Gustavo Ribeiro,Companhia das Letras,33.8,Livraria Cultura,233
Revolução Científica: Mistérios do Universo,Ciência,Maria Oliveira,Editora Sextante,21.81,Livraria Cultura,170
Os Olhos da Noite,Terror,Carla Dias,Intrínseca,46.65,Livraria Martins Fontes,230
Amor Eterno: O Último Beijo,Romance,Sofia Almeida,Editora Rocco,33.43,Livraria Lecos,0
Desperte Seu Poder: Superando Limites,Autoajuda,Ana Pereira,Companhia das Letras,13.94,Livraria Cultura,0
Desperte Seu Poder: Superando Limites,Autoajuda,Carla Dias,Companhia das Letras,25.08,Livraria Fnac,30
Futuro Agora: Revolução Digital,Tecnologia,Gustavo Ribeiro,Companhia das Letras,41.68,Livraria Martins Fontes,43
Amor Eterno: Entre Nós,Romance,Lucas Lima,Editora Globo,22.24,Livraria Fnac,435
Futuro Agora: Inteligência Artificial,Tecnologia,Pedro Martins,Editora Sextante,16.08,Livraria Martins Fontes,226
Aventura Radical: Viagem ao Centro da Terra,Aventura,Thiago Fernandes,Companhia das Letras,25.39,Livraria Fnac,17
Amor Eterno: O Último Beijo,Romance,Ana Pereira,Editora Globo,63.61,Livraria Cultura,4
Os Olhos da Noite,Terror,Juliana Rocha,Companhia das Letras,28.96,Livraria Lecos,6
O Mistério de Paris,Suspense,Juliana Rocha,Companhia das Letras,82.15,Livraria da Travessa,353
O Mistério de Moscou,Suspense,Fernanda Costa,Editora Planeta,60.13,Livraria da Travessa,200
Futuro Agora: Inteligência Artificial,Tecnologia,Pedro Martins,Intrínseca,36.5,Livraria Lecos,529
Desperte Seu Poder: Superando Limites,Autoajuda,Fernanda Costa,Editora Sextante,43.71,Livraria Cultura,0
Desperte Seu Poder: Vença o Medo,Autoajuda,Thiago Fernandes,Editora Globo,34.39,Livraria Martins Fontes,36
O Mistério de Nova York,Suspense,Pedro Martins,Editora Sextante,58.37,Livraria Fnac,0
Desperte Seu Poder: Superando Limites,Autoajuda,Beatriz Nunes,Editora Globo,38.49,Livraria Cultura,0
O Horizonte Proibido,Ficção,Carla Dias,Editora Record,24.81,Livraria Martins Fontes,31
Os Olhos da Noite,Terror,Carla Dias,Intrínseca,16.65,Livraria Fnac,181
Revolução Científica: Explorando o Infinito,Ciência,Rafael Gomes,Companhia das Letras,60.17,Livraria da Travessa,0
Vida Incrível: O Legado de uma Lenda,Biografia,Ana Pereira,Intrínseca,98.36,Livraria da Travessa,74
Aventura Radical: Viagem ao Centro da Terra,Aventura,Fernanda Costa,Editora Globo,51.03,Livraria da Travessa,28
A Última Batalha,História,Pedro Martins,Companhia das Letras,78.95,Livraria Martins Fontes,46
O Mistério de Londres,Suspense,Sofia Almeida,Editora Planeta,49.45,Livraria Cultura,866
Aventura Radical: Os Mistérios do Deserto,Aventura,Pedro Martins,Editora Globo,52.52,Livraria Cultura,230
Aventura Radical: Os Mistérios do Deserto,Aventura,Pedro Martins,Editora Planeta,82.73,Livraria Lecos,291
Vida Incrível: Histórias de Superação,Biografia,Juliana Rocha,Editora Globo,35.42,Livraria Fnac,5
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Sofia Almeida,Intrínseca,13.32,Livraria Martins Fontes,180
Futuro Agora: Conectando o Mundo,Tecnologia,Beatriz Nunes,Companhia das Letras,35.55,Livraria Saraiva,74
O Feitiço da Sombra,Fantasia,Juliana Rocha,Companhia das Letras,6.85,Livraria Fnac,649
Vida Incrível: O Legado de uma Lenda,Biografia,Maria Oliveira,Intrínseca,24.25,Livraria Lecos,690
O Feitiço da Montanha,Fantasia,Fernanda Costa,Editora Rocco,108.0,Livraria da Travessa,0
O Mistério de Paris,Suspense,Thiago Fernandes,Intrínseca,10.84,Livraria Cultura,21
Revolução Científica: O Enigma da Matéria,Ciência,Fernanda Costa,Editora Rocco,19.7,Livraria Martins Fontes,113
Revolução Científica: Mistérios do Universo,Ciência,Gustavo Ribeiro,Editora Sextante,23.24,Livraria Lecos,195
A Última Fronteira,Ficção,João Silva,Intrínseca,9.6,Livraria Cultura,8
Desperte Seu Poder: Vença o Medo,Autoajuda,Beatriz Nunes,Editora Record,51.66,Livraria da Travessa,214
O Feitiço da Sombra,Fantasia,Thiago Fernandes,Intrínseca,21.51,Livraria Martins Fontes,69
Aventuras Mágicas: A Fada e o Dragão,Infantil,Gustavo Ribeiro,Intrínseca,34.71,Livraria Fnac,18
Revolução Científica: Mistérios do Universo,Ciência,Carla Dias,Intrínseca,29.43,Livraria Lecos,6
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Maria Oliveira,Intrínseca,7.81,Livraria Saraiva,71
Desperte Seu Poder: Vença o Medo,Autoajuda,Beatriz Nunes,Companhia das Letras,20.43,Livraria Cultura,2
Aventura Radical: Os Mistérios do Deserto,Aventura,Beatriz Nunes,Intrínseca,34.3,Livraria Martins Fontes,650
Revolução Científica: O Enigma da Matéria,Ciência,Beatriz Nunes,Editora Rocco,23.54,Livraria Fnac,24
O Feitiço da Montanha,Fantasia,Sofia Almeida,Editora Globo,25.76,Livraria da Travessa,99
Amor Eterno: A Noite das Estrelas,Romance,João Silva,Editora Planeta,25.31,Livraria Cultura,65
Amor Eterno: A Noite das Estrelas,Romance,Maria Oliveira,Editora Planeta,65.8,Livraria da Travessa,32
O Horizonte Proibido,Ficção,Juliana Rocha,Companhia das Letras,72.38,Livraria Cultura,280
Aventura Radical: Os Mistérios do Deserto,Aventura,Gustavo Ribeiro,Editora Planeta,20.98,Livraria Cultura,29
O Horizonte Proibido,Ficção,Rafael Gomes,Companhia das Letras,52.58,Livraria Lecos,0
Vida Incrível: O Legado de uma Lenda,Biografia,Juliana Rocha,Editora Rocco,167.81,Livraria da Travessa,3
O Feitiço da Sombra,Fantasia,Carlos Souza,Editora Sextante,105.92,Livraria da Travessa,226
O Mistério de Nova York,Suspense,Carla Dias,Intrínseca,17.89,Livraria Cultura,5
Futuro Agora: Revolução Digital,Tecnologia,Maria Oliveira,Editora Rocco,20.53,Livraria Fnac,449
Revolução Científica: O Enigma da Matéria,Ciência,Lucas Lima,Editora Record,71.61,Livraria da Travessa,2
A Última Batalha,História,Thiago Fernandes,Intrínseca,33.81,Livraria Cultura,11
Vida Incrível: O Legado de uma Lenda,Biografia,Gustavo Ribeiro,Companhia das Letras,137.26,Livraria Saraiva,112
Revolução Científica: Explorando o Infinito,Ciência,Lucas Lima,Intrínseca,23.82,Livraria Saraiva,205
Vida Incrível: Passos para a Eternidade,Biografia,Gustavo Ribeiro,Intrínseca,52.4,Livraria Lecos,186
Desperte Seu Poder: Vença o Medo,Autoajuda,Gustavo Ribeiro,Editora Sextante,8.22,Livraria Lecos,12
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Pedro Martins,Intrínseca,46.63,Livraria Saraiva,78
Aventura Radical: Viagem ao Centro da Terra,Aventura,Beatriz Nunes,Intrínseca,23.06,Livraria Saraiva,48
O Mistério de Londres,Suspense,Beatriz Nunes,Editora Record,5.91,Livraria Fnac,106
O Mistério de Londres,Suspense,Pedro Martins,Editora Sextante,33.43,Livraria Saraiva,8
Nos Bastidores da História,História,Pedro Martins,Editora Sextante,65.28,Livraria Cultura,14
Desperte Seu Poder: Superando Limites,Autoajuda,Fernanda Costa,Editora Record,23.11,Livraria Saraiva,141
O Mistério de Moscou,Suspense,Pedro Martins,Editora Planeta,47.39,Livraria Lecos,1
O Feitiço da Lua,Fantasia,Beatriz Nunes,Editora Record,17.79,Livraria Lecos,52
Além do Infinito,Ficção,Ana Pereira,Editora Planeta,26.49,Livraria Fnac,197
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Maria Oliveira,Intrínseca,23.9,Livraria Saraiva,175
Aventura Radical: Viagem ao Centro da Terra,Aventura,Thiago Fernandes,Editora Rocco,18.08,Livraria Lecos,12
O Mistério de Paris,Suspense,Carla Dias,Intrínseca,65.09,Livraria Martins Fontes,13
Futuro Agora: Inteligência Artificial,Tecnologia,João Silva,Editora Rocco,14.81,Livraria Fnac,433
O Mistério de Paris,Suspense,Carlos Souza,Editora Planeta,39.57,Livraria Fnac,6
O Horizonte Proibido,Ficção,Pedro Martins,Editora Sextante,20.93,Livraria Cultura,0
O Mistério de Moscou,Suspense,Sofia Almeida,Intrínseca,26.82,Livraria da Travessa,18
Amor Eterno: O Último Beijo,Romance,Pedro Martins,Intrínseca,64.96,Livraria Fnac,107
Amor Eterno: A Noite das Estrelas,Romance,Maria Oliveira,Editora Planeta,63.33,Livraria Martins Fontes,371
A Casa das Sombras,Terror,Carlos Souza,Intrínseca,42.19,Livraria Lecos,0
O Feitiço da Sombra,Fantasia,Lucas Lima,Companhia das Letras,22.13,Livraria Martins Fontes,4
Revolução Científica: Explorando o Infinito,Ciência,Ana Pereira,Editora Record,63.27,Livraria Saraiva,449
Futuro Agora: Inteligência Artificial,Tecnologia,Rafael Gomes,Editora Planeta,30.92,Livraria Cultura,0
O Mistério de Nova York,Suspense,Beatriz Nunes,Editora Sextante,45.88,Livraria Fnac,66
Revolução Científica: Explorando o Infinito,Ciência,Gustavo Ribeiro,Companhia das Letras,79.62,Livraria Lecos,79
Aventura Radical: Os Mistérios do Deserto,Aventura,Pedro Martins,Companhia das Letras,19.33,Livraria Fnac,1
Aventura Radical: Viagem ao Centro da Terra,Aventura,Sofia Almeida,Editora Rocco,37.03,Livraria Cultura,13
Vida Incrível: O Legado de uma Lenda,Biografia,Maria Oliveira,Editora Sextante,8.44,Livraria da Travessa,0
Futuro Agora: Revolução Digital,Tecnologia,Sofia Almeida,Editora Globo,88.56,Livraria Lecos,602
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Fernanda Costa,Companhia das Letras,29.32,Livraria Martins Fontes,37
O Mistério de Paris,Suspense,Thiago Fernandes,Intrínseca,8.82,Livraria Saraiva,3
O Feitiço da Sombra,Fantasia,Maria Oliveira,Companhia das Letras,84.14,Livraria Saraiva,11
Revolução Científica: O Enigma da Matéria,Ciência,Pedro Martins,Intrínseca,21.4,Livraria Martins Fontes,6
Vida Incrível: Passos para a Eternidade,Biografia,Carlos Souza,Intrínseca,28.74,Livraria Lecos,382
Nos Bastidores da História,História,Lucas Lima,Companhia das Letras,17.03,Livraria Fnac,293
Os Guerreiros do Passado,História,Beatriz Nunes,Editora Sextante,30.75,Livraria Saraiva,33
Vida Incrível: Histórias de Superação,Biografia,Carla Dias,Editora Rocco,17.95,Livraria da Travessa,89
O Feitiço da Sombra,Fantasia,Beatriz Nunes,Intrínseca,72.07,Livraria Lecos,151
A Última Batalha,História,Carlos Souza,Companhia das Letras,114.48,Livraria da Travessa,396
Além do Infinito,Ficção,Ana Pereira,Editora Planeta,85.43,Livraria Fnac,375
Vida Incrível: O Legado de uma Lenda,Biografia,João Silva,Editora Globo,17.58,Livraria Saraiva,0
Aventuras Mágicas: A Fada e o Dragão,Infantil,Beatriz Nunes,Editora Record,16.85,Livraria Saraiva,104
Vida Incrível: Histórias de Superação,Biografia,Ana Pereira,Editora Sextante,85.19,Livraria da Travessa,0
Futuro Agora: Inteligência Artificial,Tecnologia,Pedro Martins,Intrínseca,31.19,Livraria Cultura,0
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,Thiago Fernandes,Editora Record,46.17,Livraria Lecos,470
Aventura Radical: Viagem ao Centro da Terra,Aventura,Thiago Fernandes,Editora Planeta,32.17,Livraria Fnac,45
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Beatriz Nunes,Editora Rocco,39.41,Livraria da Travessa,67
A Última Fronteira,Ficção,João Silva,Editora Rocco,62.12,Livraria Fnac,0
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Gustavo Ribeiro,Intrínseca,26.99,Livraria da Travessa,152
Nos Bastidores da História,História,João Silva,Editora Sextante,47.86,Livraria Lecos,35
Vida Incrível: O Legado de uma Lenda,Biografia,Carlos Souza,Editora Rocco,14.75,Livraria Cultura,222
Revolução Científica: Explorando o Infinito,Ciência,Fernanda Costa,Editora Rocco,20.14,Livraria Saraiva,3
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Sofia Almeida,Editora Globo,10.39,Livraria Martins Fontes,428
A Última Fronteira,Ficção,Sofia Almeida,Editora Sextante,37.04,Livraria Fnac,46
Nos Bastidores da História,História,Thiago Fernandes,Intrínseca,52.08,Livraria da Travessa,17
Além do Infinito,Ficção,Gustavo Ribeiro,Editora Globo,28.44,Livraria Fnac,86
A Última Batalha,História,Pedro Martins,Editora Rocco,26.48,Livraria Saraiva,4
Aventura Radical: Viagem ao Centro da Terra,Aventura,Pedro Martins,Editora Sextante,83.33,Livraria Lecos,0
O Mistério de Nova York,Suspense,Carlos Souza,Editora Record,32.77,Livraria Saraiva,8
O Feitiço da Chama,Fantasia,Carlos Souza,Editora Planeta,25.04,Livraria Martins Fontes,8
Os Guerreiros do Passado,História,Juliana Rocha,Editora Rocco,23.8,Livraria Saraiva,52
Vida Incrível: O Legado de uma Lenda,Biografia,Thiago Fernandes,Editora Rocco,31.64,Livraria Saraiva,182
Revolução Científica: Mistérios do Universo,Ciência,Pedro Martins,Editora Globo,25.62,Livraria Saraiva,280
Amor Eterno: O Último Beijo,Romance,Carla Dias,Companhia das Letras,24.54,Livraria Lecos,0
Nos Bastidores da História,História,Juliana Rocha,Editora Globo,16.82,Livraria Martins Fontes,68
O Feitiço da Montanha,Fantasia,Ana Pereira,Editora Planeta,11.05,Livraria Saraiva,8
Vida Incrível: O Legado de uma Lenda,Biografia,Rafael Gomes,Editora Globo,56.56,Livraria Fnac,81
O Horizonte Proibido,Ficção,Maria Oliveira,Companhia das Letras,29.87,Livraria da Travessa,2
Revolução Científica: O Enigma da Matéria,Ciência,Carlos Souza,Intrínseca,121.46,Livraria Lecos,358
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Lucas Lima,Intrínseca,55.47,Livraria Saraiva,80
Os Guerreiros do Passado,História,Gustavo Ribeiro,Editora Planeta,56.38,Livraria Martins Fontes,79
Aventura Radical: Viagem ao Centro da Terra,Aventura,Thiago Fernandes,Editora Record,29.88,Livraria Lecos,6
O Mistério de Nova York,Suspense,Ana Pereira,Editora Rocco,32.45,Livraria Cultura,392
A Casa das Sombras,Terror,Gustavo Ribeiro,Intrínseca,26.75,Livraria Fnac,33
Os Guerreiros do Passado,História,Beatriz Nunes,Companhia das Letras,33.06,Livraria Fnac,0
Aventura Radical: Viagem ao Centro da Terra,Aventura,Carlos Souza,Intrínseca,16.49,Livraria Cultura,52
Aventura Radical: Os Mistérios do Deserto,Aventura,Beatriz Nunes,Editora Rocco,58.18,Livraria Fnac,29
Aventura Radical: Viagem ao Centro da Terra,Aventura,Rafael Gomes,Companhia das Letras,15.96,Livraria Saraiva,0
O Mistério de Paris,Suspense,João Silva,Editora Sextante,30.77,Livraria Lecos,2
Os Guerreiros do Passado,História,Fernanda Costa,Companhia das Letras,44.62,Livraria Martins Fontes,150
Futuro Agora: Inteligência Artificial,Tecnologia,João Silva,Intrínseca,370.42,Livraria Cultura,32
O Feitiço da Sombra,Fantasia,Beatriz Nunes,Editora Rocco,31.58,Livraria Martins Fontes,80
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Sofia Almeida,Editora Planeta,42.84,Livraria Lecos,0
O Feitiço da Estrela,Fantasia,Lucas Lima,Companhia das Letras,18.07,Livraria Saraiva,30
Vida Incrível: O Legado de uma Lenda,Biografia,Carlos Souza,Editora Record,13.97,Livraria Lecos,42
